ID,HAUL_ID,VESSEL,CRUISE,HAUL,UNITS,SPECIES_CODE,SEX,LENGTH,LENGTH_TYPE,LENGTH_DEVICE,RECORDING_DEVICE,CREATE_DATE
10188,55,94,201901,59,"CM",10261,2,20,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:59:45"
10189,55,94,201901,59,"CM",10261,2,26,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:59:47"
10190,55,94,201901,59,"CM",10261,2,23,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:59:49"
10191,55,94,201901,59,"CM",10261,2,12,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:59:51"
10192,55,94,201901,59,"CM",10261,2,19,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:59:53"
10193,55,94,201901,59,"CM",10261,2,17,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:59:55"
10194,55,94,201901,59,"CM",10261,2,14,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:59:56"
10195,55,94,201901,59,"CM",10261,2,19,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 10:59:58"
10196,55,94,201901,59,"CM",10261,2,17,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 11:00:00"
10197,55,94,201901,59,"CM",10261,2,14,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 11:00:02"
10198,55,94,201901,59,"CM",10261,2,18,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 11:00:03"
10199,55,94,201901,59,"CM",10261,2,14,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 11:00:05"
10200,55,94,201901,59,"CM",10261,2,18,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 11:00:08"
10201,55,94,201901,59,"CM",10261,2,13,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 11:00:10"
10202,55,94,201901,59,"CM",10261,2,24,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 11:00:11"
10203,55,94,201901,59,"CM",10261,2,14,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 11:00:13"
10204,55,94,201901,59,"CM",10261,2,17,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 11:00:15"
10205,55,94,201901,59,"CM",10261,2,14,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 11:00:18"
10206,55,94,201901,59,"CM",10261,2,14,1,"HARDWARE DEVICE","a5b665b693f2a02c","06/15/2019 11:00:23"
